"!#TEXT#!"," 221733!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297723","        5985.55#$#font-bold=true#$#font-size=10#$#column-width=15","         957.68#$#font-bold=true#$#font-size=10#$#column-width=15","        6943.23#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221734!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297827","         204.11#$#font-bold=true#$#font-size=10#$#column-width=15","          32.66#$#font-bold=true#$#font-size=10#$#column-width=15","         236.77#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221735!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297831","          62.30#$#font-bold=true#$#font-size=10#$#column-width=15","           9.97#$#font-bold=true#$#font-size=10#$#column-width=15","          72.27#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221736!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297833","         113.99#$#font-bold=true#$#font-size=10#$#column-width=15","          18.24#$#font-bold=true#$#font-size=10#$#column-width=15","         132.23#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221737!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297835","          80.81#$#font-bold=true#$#font-size=10#$#column-width=15","          12.93#$#font-bold=true#$#font-size=10#$#column-width=15","          93.74#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221738!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 296903","         975.03#$#font-bold=true#$#font-size=10#$#column-width=15","         155.99#$#font-bold=true#$#font-size=10#$#column-width=15","        1131.02#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221739!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297837","         158.88#$#font-bold=true#$#font-size=10#$#column-width=15","          25.42#$#font-bold=true#$#font-size=10#$#column-width=15","         184.30#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221740!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297302","        1704.18#$#font-bold=true#$#font-size=10#$#column-width=15","         272.68#$#font-bold=true#$#font-size=10#$#column-width=15","        1976.86#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221741!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297838","         141.13#$#font-bold=true#$#font-size=10#$#column-width=15","          22.58#$#font-bold=true#$#font-size=10#$#column-width=15","         163.71#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221742!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297839","         199.84#$#font-bold=true#$#font-size=10#$#column-width=15","          31.98#$#font-bold=true#$#font-size=10#$#column-width=15","         231.82#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
