,BBC   - BEARINGS & BRAKE PARTS CITY cc,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,36 Months Sales Comparison,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Product,Description,Unit of Measure,,Year,January,February,March,April,May,June,July,August,September,October,November,December,Monthly Average
_,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Brand  : FBJ,,Category  : ADAPTOR SLEEVE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
AH2309-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,4,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,2 018,0,0,0,0,0,0,1 598,0,0,0,0,0,133
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AH3148-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,2,Units in Warehouse  :,5,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,2,0,1,0,0,0,0,0,0
,,,,2 017,0,0,0,0,0,0,0,0,0,2,2,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,6 600,0,3 638,0,0,0,0,0,853
,,,,2 017,0,0,0,0,0,0,0,0,0,7 276,7 276,0,1 213
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AH315-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,18,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,5,0,0,1,2,6,0,0,0,0,4,5,2
,,,,2 017,0,4,0,0,0,0,0,0,4,5,0,0,1
,,,,2 018,3,11,2,3,0,0,4,3,0,0,0,4,3
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,662,0,0,150,300,900,0,0,0,0,600,750,280
,,,,2 017,0,600,0,0,0,0,0,0,600,750,0,0,163
,,,,2 018,450,1 650,300,450,0,0,600,450,0,0,0,540,370
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AH316-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,10,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,2 017,0,0,0,0,3,0,0,0,0,0,0,0,0
,,,,2 018,0,4,1,0,0,0,3,0,0,0,0,0,1
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,160,0,0,0,0,0,13
,,,,2 017,0,0,0,0,480,0,0,0,0,0,0,0,40
,,,,2 018,0,639,160,0,0,0,480,0,0,0,0,0,107
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AH3226-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,4,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,2,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,706,0,0,0,0,0,0,0,0,0,0,59
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AH3232-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,0,Units in Warehouse  :,1,Units Reserved  :,0,Units on Order  :,2,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,1,0,0,0,2,0,2,0,0,0
,,,,2 018,0,0,2,0,0,2,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,1 047,0,0,0,2 095,0,2 095,0,0,436
,,,,2 018,0,0,2 880,0,0,2 400,0,0,0,0,0,0,440
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX3026-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,4,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,1,0,0,0,1,0,1,1,1,0,0,0
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,496,0,0,0,575,0,575,575,575,0,0,233
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX3124-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,6,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,0,0,0,0,4,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,400,0,0,0,0,0,0,0,0,0,0,33
,,,,2 017,0,0,0,0,0,0,0,1 600,0,0,0,0,133
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX3128-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,0,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,0,2,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,0,1 340,0,0,0,0,0,0,0,112
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX3130-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,2,Units in Warehouse  :,3,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,1,0,1,0,1,0,2,0,0
,,,,2 017,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,2,0,0,0,0,2,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,827,0,827,0,827,0,1 654,0,345
,,,,2 017,0,0,0,0,0,0,0,900,0,0,0,0,75
,,,,2 018,0,0,0,0,0,0,1 800,0,0,0,0,1 850,304
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX320-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,10,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,4,0,2,0,0,0,0,0,0,0,1
,,,,2 017,0,0,0,0,0,0,0,0,0,0,5,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,960,0,480,0,0,0,0,0,0,0,120
,,,,2 017,0,0,0,0,0,0,0,0,0,0,1 200,0,100
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
AHX3228-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,2,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,680,0,0,0,0,0,0,0,0,0,0,57
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H205-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,24,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,0,0,10,2,0,0,1
,,,,2 017,0,0,0,0,0,0,0,0,4,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,0,0,170,34,0,0,17
,,,,2 017,0,0,0,0,0,0,0,0,68,0,0,0,6
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H206-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,50,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,6,4,0,2,4,0,0,1
,,,,2 017,2,10,0,10,0,0,1,0,0,5,0,5,3
,,,,2 018,0,0,0,4,0,13,4,0,0,5,0,0,2
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,108,72,0,36,72,0,0,24
,,,,2 017,36,180,0,180,0,0,18,0,0,90,0,90,50
,,,,2 018,0,0,0,72,0,234,72,0,0,93,0,0,39
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H207-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,78,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,2,2,0,0,51,70,0,0,0,10
,,,,2 017,10,0,0,0,6,3,0,0,10,0,4,0,3
,,,,2 018,4,2,0,5,2,0,0,0,0,4,0,0,1
,,,,2 019,2,0,0,0,0,0,0,0,0,0,0,0,2
,,,Sales Value,2 016,0,0,0,42,42,0,0,1 071,1 470,0,0,0,219
,,,,2 017,210,0,0,0,126,63,0,0,210,0,84,0,58
,,,,2 018,84,42,0,105,42,0,0,0,0,76,0,0,29
,,,,2 019,38,0,0,0,0,0,0,0,0,0,0,0,38
,,,,,,,,,,,,,,,,,
H208-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,7,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,3,0,0,0,30,0,0,9,0,0,0,4
,,,,2 017,39,0,0,0,0,0,0,0,3,5,5,2,5
,,,,2 018,0,0,0,0,6,4,2,0,0,50,2,0,5
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,71,0,0,0,498,0,0,212,0,0,0,65
,,,,2 017,761,1,0,0,0,0,0,0,71,119,98,47,91
,,,,2 018,0,0,0,0,144,94,47,0,0,1 058,42,0,115
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H209-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,20,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,9,3,12,0,0,1,4,0,2,0,3
,,,,2 017,0,13,4,11,0,0,0,0,0,0,2,0,3
,,,,2 018,0,0,2,6,5,0,0,0,0,0,0,0,1
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,243,81,324,0,0,27,108,0,54,0,70
,,,,2 017,0,351,108,297,0,0,0,0,0,0,54,0,68
,,,,2 018,0,0,54,162,135,0,0,0,0,0,0,0,29
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H210-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,53,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,11,2,0,0,0,0,0,0,0,0,0,1
,,,,2 017,0,0,0,8,0,0,2,0,0,0,4,4,2
,,,,2 018,0,0,0,1,0,0,16,4,0,1,0,0,2
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,240,70,0,0,0,0,0,0,0,0,0,26
,,,,2 017,0,0,0,280,0,0,70,0,0,0,140,140,53
,,,,2 018,0,0,0,35,0,0,560,140,0,34,0,0,64
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H211-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,1,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,6,4,0,0,0,0,0,0,0,1
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,216,144,0,0,0,0,0,0,0,30
,,,,2 017,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 018,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H212-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,55,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,0,0,0,9,0,0,0,10,2
,,,,2 017,2,0,4,0,0,2,0,0,4,0,0,0,1
,,,,2 018,0,0,0,0,0,0,0,6,0,0,3,0,1
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,0,0,0,356,0,0,0,430,66
,,,,2 017,86,0,172,0,0,86,0,0,172,0,0,0,43
,,,,2 018,0,0,0,0,0,0,0,216,0,0,116,0,28
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H213-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,33,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,40,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Quantity Sold,2 016,0,0,0,0,44,0,3,0,0,0,4,0,4
,,,,2 017,0,3,0,6,0,2,0,0,1,0,0,0,1
,,,,2 018,0,0,0,0,1,0,37,0,10,4,2,0,5
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Sales Value,2 016,0,0,0,0,1 980,0,135,0,0,0,180,0,191
,,,,2 017,0,135,0,270,0,90,0,0,45,0,0,0,45
,,,,2 018,0,0,0,0,45,0,1 515,0,400,162,86,0,184
,,,,2 019,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
H214-FBJ,FBJ - ADAPTOR SLEEVE,EACH,H/O Units on Hand  :,22,Units in Warehouse  :,0,Units Reserved  :,0,Units on Order  :,0,,,,,,,
,,,,,,,,,,,,,,,,,
