"2022  May#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-merge=1","","","Monthly Area Product Sales Summary#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Centre#$#column-merge=2","","","","",""," 6/06/2022#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Right",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","3251  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","FVALLEY FRENCH FRIES 10*1KG   #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","CHIPS #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        10.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","3253  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","FVALLEY ONION RING BRD 10*1KG #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","VEG   #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        10.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1020  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","RAINBOW FRESH WINGS           #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","         7.51#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1021  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","RAINBOW FRESH DRUMSTICK       #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","         6.97#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1025  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","FRESH GRILLERS                #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","       369.21#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1178  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","RAINBOW FRESH FILLET          #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","       111.74#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","3025  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","MC CHIP 7MM 4*2.5KG           #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","CHIPS #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        30.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","4#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","3080  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","MC CAT CRAFT CHIP 10MM 6*2.5KG#$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","CHIP  #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        45.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"","","","","","","","","","",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALP001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Alpha Supermarket                  #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1037  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","RAINBOW IQF  6*2KG            #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","IQF   #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        12.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
